,Delta,L_a,L_b,phi_f,L,dx,dy,l_a,l_b
0,Tokar,44574.54339729819,73156.07494682905,1.1196919491976678,117730.61834412723,500,500,0.37861470553910254,0.6213852944608975
1,Niger,184350.0564442658,58767.47540360063,1.1278943276536215,243117.53184786643,1000,1000,0.7582754523833557,0.2417245476166443
2,Volta,35363.962574180194,46628.05068095451,1.3818597234098173,81992.0132551347,500,500,0.43130984555944596,0.568690154440554
3,Nile,175230.16059000624,45933.46510127737,1.042138899949504,221163.6256912836,1000,1000,0.7923100376126286,0.20768996238737134
4,Saloum,73317.18460067686,32199.728473141393,0.56361763177424,105516.91307381826,500,500,0.6948382251230674,0.3051617748769326
5,Incomati,60841.55952501824,40561.19054317118,0.2372982637577379,101402.75006818942,500,500,0.5999991073625187,0.40000089263748123
6,Donana,21306.793308348722,47664.32516787262,1.3032544792411713,68971.11847622134,500,500,0.308923412858594,0.6910765871414062
7,Llobregat,9806.574627030936,302.95527135626526,1.6727175436141792,10109.529898387202,500,500,0.9700327043491312,0.029967295650868638
8,Ebro,14365.711191644237,61048.126651978186,1.9062787985130785,75413.83784362243,500,500,0.19049171348941116,0.8095082865105887
9,Rhine-Meuse,131039.19047130948,200000.0,0.8682856630884614,331039.19047130947,1000,1000,0.3958419251954593,0.6041580748045408
10,Rhone,46123.62152565628,61933.05361607834,1.4367655820574183,108056.67514173462,500,500,0.42684657347782856,0.5731534265221714
11,Po,55804.37191750316,200000.0,1.2890645708947202,255804.37191750316,1000,1000,0.21815253390391645,0.7818474660960836
12,Vistula,49418.58501398651,200000.0,0.885369893618177,249418.5850139865,1000,1000,0.19813513500293206,0.8018648649970679
13,Shatt al-Arab,276486.04209252336,200000.0,0.24645709255522,476486.04209252336,2000,2000,0.58026052741926,0.4197394725807399
14,Indus,141085.1364586423,200000.0,1.0691812320949987,341085.1364586423,1000,1000,0.4136361317982829,0.586363868201717
15,Krishna,73257.17834690008,70708.66689148336,1.1476245970748329,143965.84523838345,1000,1000,0.5088510974641131,0.4911489025358868
16,Godovari,65390.42452291943,95281.88827223459,1.88973277712683,160672.31279515402,1000,1000,0.4069800414604578,0.5930199585395421
17,Mahanadi,82556.42357535602,56121.44685045054,1.568004733427155,138677.87042580656,1000,1000,0.5953107249330323,0.4046892750669678
18,Ganges-Brahmaputra,334569.9985902407,200000.0,0.9857633304539348,534569.9985902407,2000,2000,0.6258675187020657,0.3741324812979343
19,Ayeyarwady,243439.3102848497,200000.0,0.8467448127205847,443439.3102848497,2000,2000,0.5489799948689098,0.45102000513109014
20,Kelantan,35025.16177169496,200000.0,0.8975334279607721,235025.16177169495,1000,1000,0.14902728502626728,0.8509727149737327
21,Chao Praya,163809.53043492543,200000.0,0.5715167727294042,363809.53043492546,1000,1000,0.45026179011609485,0.5497382098839051
22,Mekong,231969.70187206264,200000.0,1.0034407073659313,431969.70187206264,2000,2000,0.5370045650580503,0.4629954349419497
23,Jakarta,49991.124812094764,200000.0,1.0508460809727795,249991.12481209476,1000,1000,0.19997159839042478,0.8000284016095752
24,Red River,135840.3119675745,200000.0,0.8304349371762603,335840.3119675745,1000,1000,0.4044788762008115,0.5955211237991884
25,Pearl,105788.20075879863,200000.0,0.49994431675546175,305788.20075879863,1000,1000,0.34595252693298933,0.6540474730670107
26,Yangtze,214670.02347383587,200000.0,0.7562720443428349,414670.0234738359,2000,2000,0.5176887918626718,0.4823112081373281
27,Yellow River,180576.11556527918,200000.0,0.8034765261323131,380576.11556527915,1000,1000,0.4744809465960968,0.5255190534039033
28,Burdekin,31813.991817437636,129543.25358715067,1.8708408791198863,161357.2454045883,1000,1000,0.197164941293259,0.8028350587067411
29,Mississippi,196844.88588927896,180163.57602041797,1.0518479052371306,377008.4619096969,1000,1000,0.5221232565767404,0.4778767434232596
30,Fraser,18900.532594573455,200000.0,1.1694088762861072,218900.53259457345,1000,1000,0.08634301785633024,0.9136569821436697
